Epoch	Natural Test Acc	FGSM Acc	PGD20 Acc	CW Acc	
1.000000	0.319700	0.148000	0.098300	0.102300	
2.000000	0.545900	0.187000	0.070200	0.075400	
3.000000	0.619600	0.185600	0.033900	0.036300	
4.000000	0.681000	0.208000	0.041700	0.047000	
5.000000	0.718700	0.215400	0.045300	0.047000	
6.000000	0.710000	0.212300	0.038100	0.041800	
7.000000	0.773200	0.230700	0.042100	0.041600	
8.000000	0.766200	0.245300	0.045700	0.046500	
9.000000	0.772600	0.256000	0.051100	0.055800	
10.000000	0.798500	0.250200	0.039800	0.043100	
11.000000	0.735900	0.218400	0.035100	0.038400	
12.000000	0.790600	0.290100	0.055300	0.058300	
13.000000	0.793000	0.260000	0.043300	0.047200	
14.000000	0.814700	0.275600	0.043400	0.046000	
15.000000	0.807500	0.249400	0.038800	0.037900	
16.000000	0.760300	0.243000	0.041300	0.043900	
17.000000	0.831500	0.301600	0.057600	0.060400	
18.000000	0.803600	0.289900	0.051100	0.055900	
19.000000	0.831800	0.321200	0.064300	0.064300	
20.000000	0.822500	0.300900	0.054300	0.048100	
21.000000	0.829500	0.287700	0.055200	0.057500	
22.000000	0.814300	0.277500	0.060800	0.055100	
23.000000	0.809400	0.303800	0.068100	0.067700	
24.000000	0.792300	0.261200	0.058200	0.055300	
25.000000	0.821500	0.264000	0.036400	0.034300	
26.000000	0.853900	0.298600	0.057300	0.042400	
27.000000	0.826000	0.256800	0.035500	0.037900	
28.000000	0.833100	0.284300	0.049900	0.044200	
29.000000	0.837800	0.308800	0.061100	0.058000	
30.000000	0.835300	0.303700	0.065800	0.060500	
31.000000	0.818300	0.299000	0.081600	0.058400	
32.000000	0.777000	0.226600	0.029300	0.026300	
33.000000	0.802200	0.208800	0.029900	0.026800	
34.000000	0.818000	0.293300	0.052200	0.049900	
35.000000	0.844600	0.303700	0.060500	0.055000	
36.000000	0.803900	0.258600	0.038600	0.036500	
37.000000	0.841900	0.281600	0.049500	0.049600	
38.000000	0.814100	0.262300	0.043900	0.043500	
39.000000	0.780600	0.249500	0.042700	0.040400	
40.000000	0.862500	0.321800	0.058400	0.057500	
41.000000	0.766500	0.226300	0.037600	0.031500	
42.000000	0.841900	0.303400	0.058100	0.044800	
43.000000	0.741000	0.198200	0.032800	0.022800	
44.000000	0.826900	0.301400	0.056800	0.046400	
45.000000	0.833700	0.323600	0.097700	0.061800	
46.000000	0.855500	0.292200	0.065600	0.046500	
47.000000	0.847600	0.331600	0.070600	0.056900	
48.000000	0.808600	0.207400	0.033800	0.023800	
49.000000	0.840300	0.335300	0.092500	0.065600	
50.000000	0.860600	0.332000	0.077800	0.058400	
51.000000	0.859300	0.360200	0.089400	0.094900	
52.000000	0.843200	0.333300	0.077800	0.082900	
53.000000	0.842200	0.359500	0.090700	0.097400	
54.000000	0.851300	0.337600	0.062100	0.070100	
55.000000	0.836100	0.339300	0.081700	0.087500	
56.000000	0.826200	0.316700	0.072500	0.078500	
57.000000	0.857700	0.380000	0.108300	0.114500	
58.000000	0.848300	0.346800	0.075900	0.084200	
59.000000	0.846200	0.362500	0.104500	0.113400	
60.000000	0.893900	0.446400	0.134200	0.143000	
61.000000	0.896000	0.454800	0.141800	0.149800	
62.000000	0.900700	0.449600	0.135000	0.142200	
63.000000	0.898800	0.447400	0.130200	0.141400	
64.000000	0.902400	0.448600	0.137600	0.144400	
65.000000	0.901400	0.451000	0.138700	0.145300	
66.000000	0.904100	0.449000	0.138300	0.143500	
67.000000	0.903400	0.443800	0.134400	0.141800	
68.000000	0.903900	0.454900	0.144300	0.151700	
69.000000	0.901400	0.455500	0.141200	0.147400	
70.000000	0.901000	0.451300	0.138000	0.144200	
71.000000	0.901500	0.447900	0.140200	0.145100	
72.000000	0.899900	0.448000	0.138200	0.146000	
73.000000	0.900800	0.447300	0.140900	0.145300	
74.000000	0.903200	0.445700	0.136700	0.143000	
75.000000	0.903300	0.446800	0.140500	0.142300	
76.000000	0.903000	0.440700	0.136700	0.140600	
77.000000	0.902900	0.444800	0.137200	0.140700	
78.000000	0.904700	0.444400	0.136700	0.140300	
79.000000	0.897900	0.447100	0.139700	0.144900	
80.000000	0.902400	0.429700	0.128900	0.132700	
81.000000	0.900400	0.435200	0.132000	0.135500	
82.000000	0.901900	0.438800	0.135400	0.143100	
83.000000	0.903300	0.433000	0.134200	0.138500	
84.000000	0.902100	0.436500	0.135400	0.138700	
85.000000	0.901300	0.436500	0.132200	0.136900	
86.000000	0.901100	0.435900	0.133700	0.136000	
87.000000	0.901800	0.434600	0.132600	0.135000	
88.000000	0.899500	0.428400	0.122300	0.124100	
89.000000	0.901600	0.435300	0.130500	0.134100	
90.000000	0.907700	0.442000	0.134300	0.136400	
91.000000	0.907400	0.444700	0.135400	0.139100	
92.000000	0.908100	0.440000	0.132700	0.136000	
93.000000	0.907600	0.442200	0.134900	0.138200	
94.000000	0.908400	0.438700	0.133300	0.135100	
95.000000	0.908300	0.443300	0.134600	0.137800	
96.000000	0.907200	0.440800	0.135600	0.137800	
97.000000	0.908700	0.442200	0.134100	0.135500	
98.000000	0.906800	0.441900	0.136300	0.137700	
99.000000	0.908600	0.443900	0.137100	0.138600	
100.000000	0.907900	0.442700	0.135000	0.137500	
101.000000	0.907000	0.442200	0.133800	0.136300	
102.000000	0.908000	0.440500	0.133500	0.135600	
103.000000	0.907800	0.445500	0.135300	0.136700	
104.000000	0.907400	0.444400	0.137100	0.138100	
105.000000	0.907400	0.438200	0.133700	0.133400	
