Epoch	Natural Test Acc	FGSM Acc	PGD20 Acc	CW Acc	
1.000000	0.337200	0.192100	0.145400	0.139300	
2.000000	0.504800	0.227900	0.129900	0.144200	
3.000000	0.577900	0.294600	0.174700	0.194400	
4.000000	0.591400	0.307800	0.186800	0.195300	
5.000000	0.587100	0.286300	0.155100	0.166300	
6.000000	0.686000	0.337000	0.172100	0.180700	
7.000000	0.713000	0.378800	0.212200	0.227300	
8.000000	0.705200	0.381100	0.214600	0.228100	
9.000000	0.607700	0.321400	0.176500	0.187900	
10.000000	0.754400	0.418400	0.237000	0.248200	
11.000000	0.766200	0.417900	0.224400	0.238400	
12.000000	0.736500	0.401000	0.225600	0.235500	
13.000000	0.759400	0.415000	0.232700	0.242000	
14.000000	0.718300	0.389600	0.207300	0.224200	
15.000000	0.756400	0.415700	0.231700	0.247100	
16.000000	0.694100	0.372900	0.210900	0.225200	
17.000000	0.749200	0.416700	0.234300	0.245900	
18.000000	0.743700	0.441700	0.251800	0.267500	
19.000000	0.748000	0.428300	0.241700	0.258300	
20.000000	0.769700	0.436500	0.249500	0.261300	
21.000000	0.763100	0.456800	0.265100	0.276900	
22.000000	0.764700	0.429100	0.235400	0.247700	
23.000000	0.720100	0.350500	0.176400	0.186500	
24.000000	0.778400	0.453400	0.253500	0.268300	
25.000000	0.761000	0.430700	0.225500	0.238600	
26.000000	0.759700	0.413900	0.201700	0.219000	
27.000000	0.796700	0.468000	0.269800	0.281000	
28.000000	0.792700	0.460700	0.252400	0.268500	
29.000000	0.810000	0.477000	0.266100	0.281300	
30.000000	0.748400	0.390300	0.190500	0.206000	
31.000000	0.709800	0.411000	0.237200	0.253000	
32.000000	0.799500	0.448800	0.243100	0.259100	
33.000000	0.681400	0.385200	0.218500	0.235200	
34.000000	0.781900	0.462400	0.257000	0.273100	
35.000000	0.736100	0.389600	0.226300	0.237700	
36.000000	0.807300	0.447900	0.238400	0.251100	
37.000000	0.792100	0.451500	0.231400	0.246000	
38.000000	0.796100	0.459000	0.254300	0.263500	
39.000000	0.790500	0.467600	0.248600	0.261400	
40.000000	0.764200	0.456800	0.252300	0.267400	
41.000000	0.745600	0.410300	0.219500	0.234100	
42.000000	0.772600	0.419200	0.226400	0.239000	
43.000000	0.741500	0.396900	0.210800	0.223900	
44.000000	0.776000	0.411800	0.193300	0.204700	
45.000000	0.773900	0.416300	0.208800	0.221500	
46.000000	0.796100	0.469200	0.262900	0.271000	
47.000000	0.759100	0.431100	0.230900	0.248400	
48.000000	0.784700	0.449800	0.234400	0.249300	
49.000000	0.800100	0.446200	0.243400	0.255500	
50.000000	0.823900	0.475900	0.231500	0.244300	
51.000000	0.800600	0.508400	0.312300	0.316400	
52.000000	0.804800	0.525400	0.328900	0.333200	
53.000000	0.797900	0.508100	0.305500	0.311900	
54.000000	0.812000	0.515700	0.318700	0.329200	
55.000000	0.800400	0.500800	0.307900	0.311400	
56.000000	0.789000	0.484700	0.292200	0.293200	
57.000000	0.771000	0.487200	0.314900	0.316800	
58.000000	0.776700	0.503200	0.317000	0.318600	
59.000000	0.791100	0.493400	0.297600	0.305800	
60.000000	0.830300	0.566100	0.383100	0.385300	
61.000000	0.833500	0.573900	0.386200	0.387200	
62.000000	0.833900	0.572600	0.389100	0.388900	
63.000000	0.838300	0.573900	0.389200	0.386400	
64.000000	0.839700	0.576500	0.385700	0.385300	
65.000000	0.840200	0.575700	0.385400	0.384600	
66.000000	0.834500	0.575300	0.387000	0.386800	
67.000000	0.838000	0.574800	0.388400	0.387900	
68.000000	0.842200	0.576100	0.387300	0.387800	
69.000000	0.844400	0.576200	0.383100	0.379200	
70.000000	0.842900	0.575800	0.390500	0.387700	
71.000000	0.840400	0.580600	0.384100	0.382000	
72.000000	0.838300	0.580500	0.392900	0.392700	
73.000000	0.843100	0.577000	0.381200	0.382600	
74.000000	0.842100	0.577100	0.389200	0.389500	
75.000000	0.839600	0.574700	0.386600	0.386400	
76.000000	0.841500	0.578900	0.386700	0.387600	
77.000000	0.842200	0.577700	0.386000	0.385700	
78.000000	0.844400	0.576800	0.391400	0.387300	
79.000000	0.836000	0.578000	0.393400	0.390300	
80.000000	0.844700	0.571700	0.380400	0.382800	
81.000000	0.844000	0.575600	0.387900	0.388600	
82.000000	0.839600	0.578000	0.388800	0.387900	
